ORDER_ID,ORDER_DATE,PRODUCT_ID,CUSTOMER_ID,QUANTITY,PRICE,PAYMENT_STATUS,DAYS_TO_PAY,,UNIT_COST,LISTED_PRICE,GROSS_PROFIT,TOTAL_COGS,GROSS_MARGIN
10001,1/10/2025,644,538,18,1949.7,PAID,25,,66.68,112.01,749.46,"1,200.24",38.44%
10002,1/1/2024,622,180,22,1947.63,PAID,22,,69.28,91.64,423.47,,21.74%
10003,11/25/2024,512,526,405,5411.48,PAID,17,,10.56,15.24,1134.68,,20.97%
10004,3/26/2024,546,519,91,1223.35,OVERDUE,,,8.82,14.24,420.73,,34.39%
10005,1/29/2025,589,587,84,121.68,PENDING,,,1.28,1.7,14.16,,11.64%
10006,5/27/2025,681,145,23,452.04,DENIED,,,15.27,19.91,100.83,,22.31%
10007,8/11/2025,674,347,33,3090.09,PAID,37,,69.49,96.97,796.92,,25.79%
10008,4/4/2024,537,357,11,589.49,PAID,49,,38.5,62.18,165.99,,28.16%
10009,10/2/2024,529,452,1,557.93,PAID,1,,339.66,574.91,218.27,,39.12%
10010,5/8/2024,615,258,30,1437.82,PAID,16,,36.67,55.26,337.72,,23.49%
10011,11/9/2024,636,540,19,1421.43,PAID,10,,55,79.32,376.43,,26.48%
10012,2/17/2025,659,416,498,4662.52,PAID,43,,6.09,9.37,1629.7,,34.95%
10013,2/8/2025,662,534,347,2094.32,PAID,45,,3.98,6.69,713.26,,34.06%
10014,5/16/2024,618,600,27,1127.64,PAID,28,,27.91,46.18,374.07,,33.17%
10015,3/29/2024,590,349,33,2383.27,DENIED,,,57.87,82.38,473.56,,19.87%
10016,12/2/2025,575,384,1,490.54,PAID,48,,327.14,545.77,163.4,,33.31%
10017,2/24/2025,576,610,64,341.28,PENDING,,,3.68,5.57,105.76,,30.99%
10018,8/28/2024,567,321,1,698.2,PAID,6,,477.06,738.28,221.14,,31.67%
10019,3/1/2024,531,447,310,390.94,DENIED,,,0.91,1.44,108.84,,27.84%
10020,12/23/2025,641,273,401,6316.49,PAID,27,,11.59,17.07,1668.9,,26.42%
10021,11/25/2024,631,388,45,1766.91,PAID,45,,28.25,43.74,495.66,,28.05%
10022,12/3/2024,590,373,39,2866.02,PAID,2,,57.87,82.38,609.09,,21.25%
10023,2/11/2024,538,185,41,3693.77,PAID,5,,70.97,102.23,784,,21.22%
10024,12/2/2024,665,273,2,1149.77,PAID,41,,378.1,642.03,393.57,,34.23%
10025,7/27/2024,541,120,418,1306.96,PAID,11,,2.06,3.39,445.88,,34.12%
10026,3/22/2025,515,313,22,1120.45,PAID,25,,38.67,58.06,269.71,,24.07%
10027,3/12/2025,633,239,364,1281.53,PAID,22,,2.59,3.84,338.77,,26.43%
10028,12/21/2024,655,606,48,4031.13,PAID,1,,56.85,83.99,1302.33,,32.31%
10029,5/26/2025,571,124,118,114.54,PENDING,,,0.76,1,24.86,,21.70%
