ORDER_ID,ORDER_DATE,PRODUCT_ID,CUSTOMER_ID,QUANTITY,PRICE,PAYMENT_STATUS,DAYS_TO_PAY,PRODUCT,UNIT_COST,LISTED_PRICE,GROSS_PROFIT,TOTAL_COGS,GROSS_MARGIN
10001,1/10/2025,644,538,18,"$1,949.70",PAID,25,Diagnostics,$66.68,$112.01,$749.46,"$1,200.24",38.44%
10002,1/1/2024,622,180,22,"$1,947.63",PAID,22,Lab Equipment,$69.28,$91.64,$423.47,"$1,524.16",21.74%
10003,11/25/2024,512,526,405,"$5,411.48",PAID,17,Patient Care,$10.56,$15.24,"$1,134.68","$4,276.80",20.97%
10004,3/26/2024,546,519,91,"$1,223.35",OVERDUE,,Patient Care,$8.82,$14.24,$420.73,$802.62,34.39%
10005,1/29/2025,589,587,84,$121.68,PENDING,,Patient Care,$1.28,$1.70,$14.16,$107.52,11.64%
10006,5/27/2025,681,145,23,$452.04,DENIED,,Lab Equipment,$15.27,$19.91,$100.83,$351.21,22.31%
10007,8/11/2025,674,347,33,"$3,090.09",PAID,37,Diagnostics,$69.49,$96.97,$796.92,"$2,293.17",25.79%
10008,4/4/2024,537,357,11,$589.49,PAID,49,Lab Equipment,$38.50,$62.18,$165.99,$423.50,28.16%
10009,10/2/2024,529,452,1,$557.93,PAID,1,Surgical Supplies,$339.66,$574.91,$218.27,$339.66,39.12%
10010,5/8/2024,615,258,30,"$1,437.82",PAID,16,Diagnostics,$36.67,$55.26,$337.72,"$1,100.10",23.49%
10011,11/9/2024,636,540,19,"$1,421.43",PAID,10,Lab Equipment,$55.00,$79.32,$376.43,"$1,045.00",26.48%
10012,2/17/2025,659,416,498,"$4,662.52",PAID,43,Patient Care,$6.09,$9.37,"$1,629.70","$3,032.82",34.95%
10013,2/8/2025,662,534,347,"$2,094.32",PAID,45,Personal Protective Equipment,$3.98,$6.69,$713.26,"$1,381.06",34.06%
10014,5/16/2024,618,600,27,"$1,127.64",PAID,28,Diagnostics,$27.91,$46.18,$374.07,$753.57,33.17%
10015,3/29/2024,590,349,33,"$2,383.27",DENIED,,Diagnostics,$57.87,$82.38,$473.56,"$1,909.71",19.87%
10016,12/2/2025,575,384,1,$490.54,PAID,48,Surgical Supplies,$327.14,$545.77,$163.40,$327.14,33.31%
10017,2/24/2025,576,610,64,$341.28,PENDING,,Personal Protective Equipment,$3.68,$5.57,$105.76,$235.52,30.99%
10018,8/28/2024,567,321,1,$698.20,PAID,6,Surgical Supplies,$477.06,$738.28,$221.14,$477.06,31.67%
10019,3/1/2024,531,447,310,$390.94,DENIED,,Personal Protective Equipment,$0.91,$1.44,$108.84,$282.10,27.84%
10020,12/23/2025,641,273,401,"$6,316.49",PAID,27,Patient Care,$11.59,$17.07,"$1,668.90","$4,647.59",26.42%
10021,11/25/2024,631,388,45,"$1,766.91",PAID,45,Diagnostics,$28.25,$43.74,$495.66,"$1,271.25",28.05%
10022,12/3/2024,590,373,39,"$2,866.02",PAID,2,Diagnostics,$57.87,$82.38,$609.09,"$2,256.93",21.25%
10023,2/11/2024,538,185,41,"$3,693.77",PAID,5,Lab Equipment,$70.97,$102.23,$784.00,"$2,909.77",21.22%
10024,12/2/2024,665,273,2,"$1,149.77",PAID,41,Surgical Supplies,$378.10,$642.03,$393.57,$756.20,34.23%
10025,7/27/2024,541,120,418,"$1,306.96",PAID,11,Patient Care,$2.06,$3.39,$445.88,$861.08,34.12%
10026,3/22/2025,515,313,22,"$1,120.45",PAID,25,Lab Equipment,$38.67,$58.06,$269.71,$850.74,24.07%
10027,3/12/2025,633,239,364,"$1,281.53",PAID,22,Personal Protective Equipment,$2.59,$3.84,$338.77,$942.76,26.43%
10028,12/21/2024,655,606,48,"$4,031.13",PAID,1,Lab Equipment,$56.85,$83.99,"$1,302.33","$2,728.80",32.31%
10029,5/26/2025,571,124,118,$114.54,PENDING,,Patient Care,$0.76,$1.00,$24.86,$89.68,21.70%
10030,6/8/2025,564,103,42,"$4,005.93",PAID,53,Lab Equipment,$58.84,$96.19,"$1,534.65","$2,471.28",38.31%
10031,10/23/2025,559,116,5,"$2,049.13",PAID,49,Surgical Supplies,$313.19,$413.43,$483.18,"$1,565.95",23.58%
10032,10/8/2024,588,481,41,"$1,915.28",PAID,23,Lab Equipment,$36.06,$48.69,$436.82,"$1,478.46",22.81%
