product_id,product_name,product_category,unit_cost,list_price
501,Bulk-Pack Scalpel Blades,Surgical Supplies,435.39,623.59
502,Compact Suture Kit,surgical supplies,449.5,603.68
503,Standard Centrifuge Tube,Lab Equipment,71.8,94.91
504,Single-Use Bedpan,PATIENT CARE,7.93,12.53
505,XL Petri Dish,lab equipment,38.3,52.36
506,Compact N95 Respirator,ppe,9.88,13.61
507,  Compact Bedpan  ,  Patient Care ,1.66,2.69
508,Compact Compression Stockings,patient care,6.17,10.04
509,Compact Surgical Mask,ppe,1.66,2.22
510,Compact Suture Kit,Surgical Supplies,255.3,341.41
511,Single-Use Wheelchair,patient care,3.3,5.24
512,Standard Patient Wristband,Patient Care,10.56,15.24
513,Premium Nitrile Gloves,Personal Protective Equipment,2.8,4.33
514,  Premium Surgical Drapes  ,surgical supplies,280.75,378.21
515,Pro-Grade Pipette Tips,lab equipment,38.67,58.06
516,Premium Patient Wristband,  Patient Care ,7.04,10.24
517,Pro-Grade Surgical Mask,PERSONAL PROTECTIVE EQUIPMENT,11.84,16.82
518,Pro-Grade Face Shield,ppe,7.0,9.58
519,Compact Ultrasound Gel,  Diagnostics ,36.56,48.52
520,Single-Use Patient Wristband,  Patient Care ,6.08,9.27
521,  Standard Surgical Mask  ,ppe,11.14,15.24
522,Bulk-Pack Petri Dish,LAB EQUIPMENT,32.15,46.02
523,Bulk-Pack Surgical Mask,personal protective equipment,3.19,4.47
524,Standard Pipette Tips,Lab Equipment,69.73,94.24
525,Pro-Grade Face Shield,PERSONAL PROTECTIVE EQUIPMENT,5.4,7.05
526,XL IV Stand,Patient Care,10.83,16.53
527,XL Bedpan,patient care,2.47,4.08
528,  Bulk-Pack Bone Saw  ,  Surgical Supplies ,213.55,311.65
529,Bulk-Pack Bone Saw,surgical supplies,339.66,574.91
530,Single-Use Scalpel Blades,SURGICAL SUPPLIES,355.07,578.4
531,Pro-Grade Face Shield,PERSONAL PROTECTIVE EQUIPMENT,0.91,1.44
532,Standard Glucose Monitor,diagnostics,34.94,59.07
533,Standard Rapid Strep Test,DIAGNOSTICS,15.12,19.78
534,Pro-Grade Rapid Strep Test,DIAGNOSTICS,52.34,71.97
535,  Standard Petri Dish  ,Lab Equipment,43.14,67.52
536,Compact Glucose Monitor,  Diagnostics ,68.2,98.92
537,XL Centrifuge Tube,  Lab Equipment ,38.5,62.18
538,Bulk-Pack Pipette Tips,lab equipment,70.97,102.23
539,Premium Ultrasound Gel,Diagnostics,42.06,54.72
540,Compact Centrifuge Tube,LAB EQUIPMENT,65.43,91.11
541,Single-Use Compression Stockings,PATIENT CARE,2.06,3.39
542,  Single-Use EKG Electrodes  ,DIAGNOSTICS,52.54,73.54
543,Single-Use Blood Collection Tube,diagnostics,43.16,68.18
544,Pro-Grade Compression Stockings,PATIENT CARE,10.7,16.36
545,Single-Use Hospital Gown,Patient Care,1.89,3.2
546,Bulk-Pack Compression Stockings,PATIENT CARE,8.82,14.24
547,Premium Nitrile Gloves,Personal Protective Equipment,1.64,2.59
548,Standard Incubator Tray,LAB EQUIPMENT,16.06,24.69
549,  Bulk-Pack Compression Stockings  ,patient care,7.36,10.61
550,XL Surgical Drapes,SURGICAL SUPPLIES,262.73,378.42
551,Compact Compression Stockings,PATIENT CARE,7.86,13.04
552,Premium Blood Collection Tube,  Diagnostics ,34.38,47.83
553,Pro-Grade Glucose Monitor,  Diagnostics ,24.52,40.57
