order_id,order_date,product_id,customer_id,quantity,price,payment_status,days_to_pay
10001,2025-01-10,644,538,18,1949.7,PD,25.0
10002,2024-01-01,622,180,22,1947.63,paid,22.0
10003,2024-11-25,512,526,405,5411.48,Paid,17.0
10004,2024-03-26,546,519,91,1223.35,overdue,
10005,2025-01-29,589,587,84,121.68,Pending,
10006,2025-05-27,681,145,23,452.04,Denied,
10007,2025-08-11,674,347,33,3090.09,paid,37.0
10008,2024-04-04,537,357,11,589.49,Paid,49.0
10009,2024-10-02,529,452,1,557.93,Paid,1.0
10010,2024-05-08,615,258,30,1437.82,PD,16.0
10011,2024-11-09,636,540,19,1421.43,Paid,10.0
10012,2025-02-17,659,416,498,4662.52,Paid,43.0
10013,2025-02-08,662,534,347,2094.32,Paid,45.0
10014,2024-05-16,618,600,27,1127.64,Paid,28.0
10015,2024-03-29,590,349,33,2383.27,Denied,
10016,2025-12-02,575,384,1,490.54,PD,48.0
10017,2025-02-24,576,610,64,341.28,Pending,
10018,2024-08-28,567,321,1,698.2,Paid,6.0
10019,2024-03-01,531,447,310,390.94,denied,
10020,2025-12-23,641,273,401,6316.49,Paid,27.0
10021,2024-11-25,631,388,45,1766.91,PD,45.0
10022,2024-12-03,590,373,39,2866.02,Paid,2.0
10023,2024-02-11,538,185,41,3693.77,Paid,5.0
10024,2024-12-02,665,273,2,1149.77,Paid,41.0
10025,2024-07-27,541,120,418,1306.96,Paid,11.0
10026,2025-03-22,515,313,22,1120.45,paid,25.0
10027,2025-03-12,633,239,364,1281.53,paid,22.0
10028,2024-12-21,655,606,48,4031.13,PD,1.0
10029,2025-05-26,571,124,118,114.54,Pending,
10030,2025-06-08,564,103,42,4005.93,Paid,53.0
10031,2025-10-23,559,116,5,2049.13,Paid,49.0
10032,2024-10-08,588,481,41,1915.28,Paid,23.0
10033,2025-06-26,638,214,1,168.28,paid,54.0
10034,2024-02-19,608,493,449,1854.86,Overdue,
10035,2024-10-21,619,615,226,4203.74,Overdue,
10036,2025-05-31,600,319,1,316.84,Paid,32.0
10037,2025-10-30,571,201,420,414.94,Paid,11.0
10038,2024-09-27,602,583,38,2821.87,Paid,5.0
10039,2025-04-09,513,248,435,1719.62,PD,12.0
10040,2025-05-18,641,551,296,4544.4,Paid,38.0
10041,2024-02-27,551,400,454,5173.58,Overdue,
10042,2025-10-14,527,177,180,733.09,Paid,11.0
10043,2025-12-20,634,106,23,1258.42,Paid,1.0
10044,2025-07-18,602,466,22,1657.12,Paid,15.0
10045,2024-04-14,616,290,385,864.52,Paid,59.0
10046,2024-02-27,650,111,1,616.83,denied,
10047,2024-03-05,640,126,1,382.4,Paid,45.0
10048,2024-09-22,574,395,79,461.52,paid,13.0
10049,2024-05-14,512,478,482,6437.84,Overdue,
10050,2024-07-13,680,613,164,199.65,denied,
10051,2024-02-18,617,276,44,1388.88,paid,11.0
10052,2025-08-26,557,225,49,4588.56,Paid,20.0
10053,2025-03-04,560,215,1,238.35,Paid,34.0
10054,2024-07-11,594,199,267,587.54,Paid,2.0
10055,2024-10-26,679,632,416,5136.76,Denied,
10056,2025-12-21,544,413,165,2619.92,paid,34.0
10057,2025-08-17,655,184,41,3196.37,Paid,26.0
10058,2025-09-15,560,203,5,1201.86,PD,17.0
10059,2025-11-13,648,281,3,2077.91,Paid,18.0
10060,2025-03-19,677,522,10,344.09,PD,36.0
10061,2024-11-17,624,645,3,1652.23,paid,52.0
10062,2025-01-04,585,138,38,845.75,overdue,
10063,2024-01-12,577,645,117,570.72,overdue,
10064,2025-09-27,581,435,36,3071.89,Paid,17.0
10065,2024-02-02,564,460,17,1487.86,paid,18.0
10066,2024-04-27,574,147,303,1993.14,Overdue,
10067,2024-10-09,585,473,42,869.29,PD,22.0
10068,2024-04-21,554,550,18,1030.75,PD,40.0
10069,2025-12-10,547,339,446,1035.8,Overdue,
10070,2025-11-09,529,389,3,1522.33,Paid,49.0
10071,2025-11-03,530,347,3,1597.7,Denied,
10072,2025-07-29,532,584,21,1064.82,PD,50.0
10073,2025-11-08,567,287,4,2620.05,PD,12.0
10074,2024-08-06,599,555,393,779.79,Paid,23.0
10075,2025-11-20,612,398,2,1183.18,PD,43.0
10076,2024-12-30,540,494,32,2796.55,paid,38.0
10077,2024-03-15,513,350,389,1561.19,Overdue,
10078,2025-03-04,597,608,15,892.89,PD,49.0
